Material	Technology	Year	Nameplate Capacity [kg/yr]	Consumption [unit/kg]	Consumption [unit/km/kg]	Storage [kg]
Electricity (Industrial) [kWh]	LH2 Train Terminal	2040	1099582.584	8.779145477	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2045	1099582.584	8.575733289	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2050	1099582.584	8.472510521	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2015	1099582.584	0.000953628	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2020	1099582.584	0.000959062	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2025	1099582.584	0.000952474	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2030	1099582.584	0.000915904	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2035	1099582.584	0.000866974	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2040	1099582.584	0.0008477	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2045	1099582.584	0.000838203	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2050	1099582.584	0.000838698	0	0
Diesel [gal]	LH2 Truck Link	2015	1099582.584	0	3.17E-05	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	1099582.584	12.97899899	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	1954813.483	12.25336961	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	3475223.97	11.56830026	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	10983423.9	10.3109072	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	34713043.45	9.190174887	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	109710359.6	8.779145477	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	346738914.1	8.575733289	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2015	1095866198	8.472510521	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	1099582.584	12.97899899	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	1954813.483	12.25336961	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	3475223.97	11.56830026	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	10983423.9	10.3109072	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	34713043.45	9.190174887	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	109710359.6	8.779145477	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	346738914.1	8.575733289	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2020	1095866198	8.472510521	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	1099582.584	12.97899899	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	1954813.483	12.25336961	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	3475223.97	11.56830026	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	10983423.9	10.3109072	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	34713043.45	9.190174887	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	109710359.6	8.779145477	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	346738914.1	8.575733289	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2025	1095866198	8.472510521	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	1099582.584	12.97899899	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	1954813.483	12.25336961	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	3475223.97	11.56830026	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	10983423.9	10.3109072	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	34713043.45	9.190174887	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	109710359.6	8.779145477	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	346738914.1	8.575733289	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2030	1095866198	8.472510521	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (350bar)	2015	54750	1.19546173	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (350bar)	2015	182500	1.018768694	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (350bar)	2015	365000	0.964611333	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (350bar)	2015	547500	0.983746049	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	54750	4.144379834	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	182500	3.703673059	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	365000	3.617951102	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	547500	3.651518834	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	730000	3.618750475	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	1095000	3.619288863	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	1460000	4.164432768	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	2044000	3.912947014	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	2774000	3.394978671	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	3832500	2.881129741	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	5288850	2.624153727	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (350bar)	2015	8030000	2.448754116	0	0
Salt Cavern Available [kg]	GH2 Pipeline Salt Cavern Storage	2015	1054051.971	1	0	0
Salt Cavern Available [kg]	LH2 Pipeline Salt Cavern Storage	2015	1099582.584	1	0	0
