Network ID	Territory	Fraction
TAZ_2119	WEC_CALN	1
TAZ_867	WECC_SF	1
TAZ_866	WECC_SF	1
TAZ_880	WECC_SF	1
TAZ_909	WECC_SF	1
TAZ_864	WECC_SF	1
TAZ_3021	WEC_LADW	1
TAZ_877	WECC_SF	1
TAZ_715	WEC_CALN	1
TAZ_3009	WEC_CALN	1
TAZ_906	WECC_SF	1
TAZ_3029	WEC_CALN	1
TAZ_857	WECC_SF	1
TAZ_983	WECC_SF	1
TAZ_821	WECC_SF	1
TAZ_858	WECC_SF	1
TAZ_740	WEC_CALN	1
Cavern_13	WECC_CO	1
TAZ_819	WECC_SF	1
TAZ_848	WECC_SF	1
TAZ_847	WECC_SF	1
TAZ_785	WECC_SF	1
TAZ_3008	WEC_CALN	1
TAZ_3007	WEC_CALN	1
TAZ_712	WEC_CALN	1
TAZ_837	WECC_SF	1
TAZ_817	WECC_SF	1
TAZ_719	WEC_CALN	1
TAZ_836	WECC_SF	1
TAZ_3003	WEC_CALN	1
TAZ_3002	WEC_CALN	1
TAZ_320	WEC_CALN	1
TAZ_314	WEC_CALN	1
TAZ_313	WEC_CALN	1
TAZ_329	WEC_CALN	1
TAZ_531	WEC_CALN	1
TAZ_3000	WEC_CALN	1
TAZ_425	WEC_CALN	1
TAZ_507	WEC_CALN	1
TAZ_528	WEC_CALN	1
TAZ_525	WEC_CALN	1
TAZ_512	WEC_CALN	1
TAZ_522	WEC_CALN	1
Cavern_15	WECC_UT	1
TAZ_601	WEC_CALN	1
TAZ_643	WEC_CALN	1
TAZ_426	WEC_CALN	1
Cavern_24	WECC_CO	1
TAZ_423	WEC_CALN	1
TAZ_414	WEC_CALN	1
TAZ_417	WEC_CALN	1
TAZ_418	WEC_CALN	1
TAZ_416	WEC_CALN	1
TAZ_456	WEC_CALN	1
TAZ_471	WEC_CALN	1
TAZ_344	WEC_CALN	1
TAZ_340	WEC_CALN	1
TAZ_460	WEC_CALN	1
TAZ_230	WEC_CALN	1
TAZ_337	WEC_CALN	1
TAZ_228	WEC_CALN	1
TAZ_461	WEC_CALN	1
TAZ_434	WEC_CALN	1
Cavern_4	WECC_CO	1
TAZ_262	WEC_CALN	1
TAZ_263	WEC_CALN	1
TAZ_347	WEC_CALN	1
TAZ_277	WEC_CALN	1
WECC_UT	WECC_UT	1
Cavern_7	WECC_UT	1
TAZ_212	WEC_CALN	1
WECC_NNV	WECC_NNV	1
TAZ_210	WEC_CALN	1
TAZ_233	WEC_CALN	1
TAZ_209	WEC_CALN	1
TAZ_211	WEC_CALN	1
TAZ_202	WEC_CALN	1
WECC_CO	WECC_CO	1
TAZ_273	WEC_CALN	1
TAZ_284	WEC_CALN	1
TAZ_274	WEC_CALN	1
WEC_CALN	WEC_CALN	1
TAZ_281	WEC_CALN	1
TAZ_127	WEC_CALN	1
TAZ_280	WEC_CALN	1
TAZ_126	WEC_CALN	1
TAZ_125	WEC_CALN	1
TAZ_124	WEC_CALN	1
Cavern_8	WECC_CO	1
TAZ_137	WEC_CALN	1
TAZ_115	WEC_CALN	1
TAZ_158	WEC_CALN	1
TAZ_122	WEC_CALN	1
TAZ_170	WEC_CALN	1
TAZ_156	WEC_CALN	1
Cavern_2	WECC_CO	1
TAZ_110	WEC_CALN	1
TAZ_109	WEC_CALN	1
TAZ_167	WECC_PNW	1
TAZ_164	WECC_PNW	1
TAZ_128	WECC_PNW	1
TAZ_166	WECC_PNW	1
TAZ_130	WECC_PNW	1
TAZ_131	WECC_PNW	1
TAZ_129	WECC_PNW	1
TAZ_104	WECC_PNW	1
TAZ_165	WECC_PNW	1
TAZ_163	WECC_PNW	1
TAZ_160	WECC_PNW	1
TAZ_161	WECC_PNW	1
TAZ_162	WECC_PNW	1
TAZ_103	WECC_PNW	1
Cavern_6	WECC_WY	1
Cavern_10	WECC_UT	1
Cavern_9	WECC_ID	1
Cavern_11	WECC_WY	1
Cavern_3	WECC_WY	1
WECC_WY	WECC_WY	1
WECC_ID	WECC_ID	1
WECC_PNW	WECC_PNW	1
Cavern_1	WECC_WY	1
Cavern_0	WECC_MT	1
WECC_MT	WECC_MT	1
link_2	WEC_LADW	1
link_3	WECC_SCE	0.6
link_3	WEC_LADW	0.4
link_4	WECC_SCE	1
link_5	WECC_SCE	1
link_6	WECC_SCE	1
link_7	WECC_SCE	1
link_8	WECC_SCE	1
link_9	WECC_SCE	1
link_10	WECC_SCE	1
link_11	WEC_SDGE	1
link_12	WECC_SCE	0.3
link_12	WEC_SDGE	0.7
link_13	WEC_SDGE	1
link_14	WEC_SDGE	1
link_15	WEC_SDGE	1
link_16	WECC_SCE	0.7
link_16	WEC_LADW	0.3
link_18	WECC_SCE	0.4
link_18	WEC_LADW	0.6
link_19	WECC_SCE	0.4
link_19	WEC_LADW	0.6
link_20	WECC_SCE	1
link_21	WEC_LADW	1
link_22	WEC_LADW	1
link_23	WECC_SCE	0.4
link_23	WEC_LADW	0.6
link_24	WEC_LADW	1
link_25	WECC_SCE	0.5
link_25	WEC_LADW	0.5
link_26	WEC_LADW	1
link_27	WEC_LADW	1
link_28	WEC_LADW	1
link_29	WECC_SCE	1
link_30	WECC_SCE	1
link_31	WECC_SCE	0.5
link_31	WEC_LADW	0.5
link_32	WECC_SCE	1
link_33	WECC_SCE	1
link_34	WECC_SCE	1
link_35	WECC_SCE	1
link_36	WECC_SCE	1
link_37	WECC_SCE	1
link_38	WECC_SCE	0.2
link_38	WEC_SDGE	0.8
link_39	WECC_SCE	1
link_40	WECC_SCE	1
link_41	WECC_SCE	0.6
link_41	WEC_LADW	0.4
