Material	Technology	Year	Nameplate Capacity [kg/yr]	Production [unit/kg]	Production [unit/km/kg]	Storage [kg]
N2O [tonne]	GH2 Truck Link	2015	0	0	3.42e-12	0
BC [tonne]	GH2 Truck Link	2015	0	0	9.12e-12	0
POC [tonne]	GH2 Truck Link	2015	0	0	3.76e-11	0
GHG-100 [tonne]	GH2 Truck Link	2015	0	0	3.26792255e-06	0
CO2 Total [tonne]	LH2 Truck Link	2015	0	0	3.2431995e-07	0
CO2 [tonne]	LH2 Truck Link	2015	0	0	3.2364999e-07	0
VOC [tonne]	LH2 Truck Link	2015	0	0	6.94e-11	0
CO [tonne]	LH2 Truck Link	2015	0	0	2.8352e-10	0
NOx [tonne]	LH2 Truck Link	2015	0	0	7.8575e-10	0
PM10 [tonne]	LH2 Truck Link	2015	0	0	5.87e-12	0
PM2.5 [tonne]	LH2 Truck Link	2015	0	0	5.7e-12	0
SOx [tonne]	LH2 Truck Link	2015	0	0	2.26e-12	0
CH4 [tonne]	LH2 Truck Link	2015	0	0	7.94e-11	0
N2O [tonne]	LH2 Truck Link	2015	0	0	3.42e-13	0
BC [tonne]	LH2 Truck Link	2015	0	0	9.12e-13	0
POC [tonne]	LH2 Truck Link	2015	0	0	3.76e-12	0
GHG-100 [tonne]	LH2 Truck Link	2015	0	0	3.2679226e-07	0
CO2 Total [tonne]	Barge	2015	0	0	2.467456e-08	0
CO2 [tonne]	Barge	2015	0	0	2.456206e-08	0
VOC [tonne]	Barge	2015	0	0	6.09e-12	0
CO [tonne]	Barge	2015	0	0	5.86e-11	0
NOx [tonne]	Barge	2015	0	0	2.604e-10	0
PM10 [tonne]	Barge	2015	0	0	8.56e-12	0
PM2.5 [tonne]	Barge	2015	0	0	8.3e-12	0
SOx [tonne]	Barge	2015	0	0	7.75e-11	0
CH4 [tonne]	Barge	2015	0	0	2.98e-13	0
N2O [tonne]	Barge	2015	0	0	5.8e-13	0
BC [tonne]	Barge	2015	0	0	1.25e-12	0
POC [tonne]	Barge	2015	0	0	3.24e-12	0
GHG-100 [tonne]	Barge	2015	0	0	2.483721e-08	0
CO2 Total [tonne]	Barge	2020	0	0	2.467464e-08	0
CO2 [tonne]	Barge	2020	0	0	2.457318e-08	0
VOC [tonne]	Barge	2020	0	0	4.5e-12	0
CO [tonne]	Barge	2020	0	0	5.48e-11	0
NOx [tonne]	Barge	2020	0	0	1.9607e-10	0
PM10 [tonne]	Barge	2020	0	0	6.39e-12	0
PM2.5 [tonne]	Barge	2020	0	0	6.19e-12	0
SOx [tonne]	Barge	2020	0	0	7.75e-11	0
CH4 [tonne]	Barge	2020	0	0	2.21e-13	0
N2O [tonne]	Barge	2020	0	0	5.8e-13	0
BC [tonne]	Barge	2020	0	0	9.29e-13	0
POC [tonne]	Barge	2020	0	0	2.42e-12	0
GHG-100 [tonne]	Barge	2020	0	0	2.483497e-08	0
CO2 Total [tonne]	LH2 Train Link	2015	0	0	1.467326e-08	0
CO2 [tonne]	LH2 Train Link	2015	0	0	1.460783e-08	0
VOC [tonne]	LH2 Train Link	2015	0	0	7.7e-12	0
CO [tonne]	LH2 Train Link	2015	0	0	2.59e-11	0
NOx [tonne]	LH2 Train Link	2015	0	0	1.856e-10	0
PM10 [tonne]	LH2 Train Link	2015	0	0	5.44e-12	0
PM2.5 [tonne]	LH2 Train Link	2015	0	0	5.28e-12	0
SOx [tonne]	LH2 Train Link	2015	0	0	1.02e-13	0
CH4 [tonne]	LH2 Train Link	2015	0	0	1.28e-12	0
N2O [tonne]	LH2 Train Link	2015	0	0	4e-13	0
BC [tonne]	LH2 Train Link	2015	0	0	4.43e-13	0
POC [tonne]	LH2 Train Link	2015	0	0	4.68e-12	0
GHG-100 [tonne]	LH2 Train Link	2015	0	0	1.481772e-08	0
CO2 Total [tonne]	LH2 Train Link	2020	0	0	1.467315e-08	0
CO2 [tonne]	LH2 Train Link	2020	0	0	1.461633e-08	0
VOC [tonne]	LH2 Train Link	2020	0	0	6.72e-12	0
CO [tonne]	LH2 Train Link	2020	0	0	2.24e-11	0
NOx [tonne]	LH2 Train Link	2020	0	0	1.5933e-10	0
