Technology	Year	Nameplate Capacity [kg/yr]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Maximum Utilization [kg/kg]	Storage [kg]
Central Biomass Gasification	2005	33580000	Central	40	0.78	124863211.9	0	36056969.79	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	35222500	Central	40	0.78	129601880	0	37325625.76	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	36865000	Central	40	0.78	134292162.9	0	38582922.21	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	38507500	Central	40	0.78	138936679.5	0	39829556.67	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	40150000	Central	40	0.78	143537801.9	0	41066156.1	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	41792500	Central	40	0.78	148097687.3	0	42293286.6	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	43435000	Central	40	0.78	152618305.3	0	43511461.57	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	45077500	Central	40	0.78	157101461	0	44721148.37	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	46720000	Central	40	0.78	161548813.8	0	45922774.05	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	48362135	Central	40	0.78	165960916.9	0	47116465.61	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	50004270	Central	40	0.78	170340177	0	48302850.76	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	51646405	Central	40	0.78	174687905.6	0	49482261.33	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	53288540	Central	40	0.78	179005322.2	0	50655004.16	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	54930675	Central	40	0.78	183293562.7	0	51821363.81	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	56572810	Central	40	0.78	187553688	0	52981604.64	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	58214945	Central	40	0.78	191786691	0	54135972.94	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	59857080	Central	40	0.78	195993502.4	0	55284698.55	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	61499215	Central	40	0.78	200174996.3	0	56427996.41	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	63141350	Central	40	0.78	204331995.3	0	57566067.94	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	64783485	Central	40	0.78	208465274.7	0	58699102.14	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	66425620	Central	40	0.78	212575565.8	0	59827276.73	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	68067755	Central	40	0.78	216663560.5	0	60950759.04	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	69709890	Central	40	0.78	220729913.3	0	62069706.9	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	71352025	Central	40	0.78	224775244.7	0	63184269.32	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	72994160	Central	40	1	228800143.5	0	64294587.28	0	0.049164123	0	0.9	0
Central Biomass Gasification	2025	7300365	Central	40	0.78	35750053.24	0	11794744.44	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	8942500	Central	40	0.78	41879925.94	0	13370660.9	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	10585000	Central	40	0.78	47766871.45	0	14873215.02	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	12227500	Central	40	0.78	53455366.15	0	16317984.32	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	13870000	Central	40	0.78	58977663.68	0	17715752.89	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	15512500	Central	40	0.78	64357582.88	0	19074236.86	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	17155000	Central	40	0.78	69613374.78	0	20399192.86	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	18797500	Central	40	0.78	74759432.82	0	21695057.43	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	20440000	Central	40	0.78	79807373.88	0	22965339.79	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	22082500	Central	40	0.78	84766753.71	0	24212875.35	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	23725000	Central	40	0.78	89645558.52	0	25439996.11	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	25367500	Central	40	0.78	94450553.39	0	26648649.05	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	27010000	Central	40	0.78	99187535.74	0	27840480.74	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	28652500	Central	40	0.78	103861524.1	0	29016899.37	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	30295000	Central	40	0.78	108476901.4	0	30179121.05	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	31937500	Central	40	0.78	113037525.2	0	31328205.15	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	33580000	Central	40	0.78	117546814.5	0	32465081.57	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	35222500	Central	40	0.78	122007818.9	0	33590572.19	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	36865000	Central	40	0.78	126423273.3	0	34705407.97	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	38507500	Central	40	0.78	130795643.1	0	35810242.57	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	40150000	Central	40	0.78	135127161.4	0	36905663.56	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	41792500	Central	40	0.78	139419858.9	0	37992201.56	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	43435000	Central	40	0.78	143675589.9	0	39070337.77	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	45077500	Central	40	0.78	147896053.8	0	40140510.3	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	46720000	Central	40	0.78	152082812.6	0	41203119.47	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	48362135	Central	40	0.78	156236387.1	0	42258298.58	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	50004270	Central	40	0.78	160359043.2	0	43306621.88	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	51646405	Central	40	0.78	164452015.4	0	44348400.51	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	53288540	Central	40	0.78	168516451.6	0	45383922.21	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	54930675	Central	40	0.78	172553421.3	0	46413453.76	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	56572810	Central	40	0.78	176563923.4	0	47437243.09	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	58214945	Central	40	0.78	180548892.3	0	48455521.16	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	59857080	Central	40	0.78	184509204.3	0	49468503.51	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	61499215	Central	40	0.78	188445682.3	0	50476391.73	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	63141350	Central	40	0.78	192359100.8	0	51479374.72	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	64783485	Central	40	0.78	196250189.3	0	52477629.76	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	66425620	Central	40	0.78	200119636.8	0	53471323.54	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	68067755	Central	40	0.78	203968094.2	0	54460613.01	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	69709890	Central	40	0.78	207796177.8	0	55445646.22	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	71352025	Central	40	0.78	211604471.8	0	56426562.96	0	0.046745244	0	0.9	0
Central Biomass Gasification	2025	72994160	Central	40	1	215393530.4	0	57403495.46	0	0.046745244	0	0.9	0
Central Coal Gasification (no CCS)	2005	103597950	Central	40	1	504102231.6	0	80779441.32	0	0.039514576	0	0.9	0
Central Coal Gasification (no CCS)	2025	89964470	Central	40	1	579023855.9	0	116537324.4	0	0.037406137	0	0.9	0
Central Coal Gasification w/CCS	2005	112300645	Central	40	1	813897433.6	0	116983116.7	0	0.040257353	0	0.9	0
Central Coal Gasification w/CCS	2025	89964470	Central	40	1	776214694	0	144056705.2	0	0.039838075	0	0.9	0
Central Grid Electrolysis (Solid Oxide)	2010	18250000	Central	40	1	92331307.72	0	30855263.96	0	0	0	0.824	0
Central Grid Electrolysis (Solid Oxide)	2025	18250000	Central	40	1	45482399.4	0	12871614.76	0	0	0	0.875	0
Central Grid Electrolysis (PEM)	2010	547500	Central	40	0.97	4978414.267	0	1466363.374	0	0	0	0.97	0
Central Grid Electrolysis (PEM)	2010	18250000	Central	40	1	149376890.8	0	43998106.58	0	0	0	0.97	0
Central Grid Electrolysis (PEM)	2025	547500	Central	40	0.97	2013960.203	0	436516.8443	0	0	0	0.97	0
Central Grid Electrolysis (PEM)	2025	18250000	Central	40	1	60428702.2	0	13097650.27	0	0	0	0.97	0
Central Natural Gas Reforming (no CCS)	2005	2184160	Central	40	0.88	6642444.408	0	1395952.974	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	85775365	Central	40	0.6	167925511.1	0	35290640.35	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	87508750	Central	40	0.6	169953464.4	0	35700302.69	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	89242500	Central	40	0.6	171965834.2	0	36106741.31	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	90976250	Central	40	0.6	173962625.2	0	36509960.47	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	92710000	Central	40	0.6	175944251.7	0	36910046.86	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	94443750	Central	40	0.6	177911109.3	0	37307083.27	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	96177500	Central	40	0.6	179863576.2	0	37701148.8	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	97911250	Central	40	0.6	181802014.4	0	38092319.13	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	99645000	Central	40	0.6	183726770.3	0	38480666.69	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	101378750	Central	40	0.6	185638176.3	0	38866260.87	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	103112500	Central	40	0.6	187536550.6	0	39249168.22	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	104846250	Central	40	0.6	189422199.5	0	39629452.56	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	106580000	Central	40	0.6	191295416.1	0	40007175.16	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	108313750	Central	40	0.6	193156482.9	0	40382394.91	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	110047500	Central	40	0.6	195005671.5	0	40755168.41	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	111781250	Central	40	0.6	196843242.8	0	41125550.1	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	113515000	Central	40	0.6	198669448.4	0	41493592.41	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	115248750	Central	40	0.6	200484530.6	0	41859345.79	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	116982500	Central	40	0.6	202288723	0	42222858.92	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	118716250	Central	40	0.6	204082250.9	0	42584178.67	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	120450000	Central	40	0.6	205865331.7	0	42943350.32	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	122183750	Central	40	0.6	207638175.4	0	43300417.54	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	123917500	Central	40	0.6	209400984.7	0	43655422.5	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	125651250	Central	40	0.6	211153955.7	0	44008405.98	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	127385000	Central	40	0.6	212897278	0	44359407.37	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	129118385	Central	40	0.6	214630770.7	0	44708391.51	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	130851770	Central	40	0.6	216354979.4	0	45055469.32	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	132585155	Central	40	0.6	218070075.7	0	45400676.5	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	134318540	Central	40	0.6	219776226	0	45744047.57	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	136051925	Central	40	0.6	221473591.6	0	46085616.02	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	137785310	Central	40	0.6	223162328.6	0	46425414.28	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	139518695	Central	40	0.6	224842588.8	0	46763473.81	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	141252080	Central	40	0.6	226514519.3	0	47099825.11	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	142985465	Central	40	0.6	228178262.7	0	47434497.81	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	144718850	Central	40	0.6	229833957.7	0	47767520.63	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	146452235	Central	40	0.6	231481738.9	0	48098921.49	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	148185620	Central	40	0.6	233121737.2	0	48428727.5	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	149919005	Central	40	0.6	234754079.8	0	48756965.01	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	151652390	Central	40	0.6	236378890.2	0	49083659.63	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	153385775	Central	40	0.6	237996288.7	0	49408836.26	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2005	155119160	Central	40	1	239606392.5	0	49732519.18	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	2184160	Central	40	0.88	4985511.102	0	1071810.206	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	85775365	Central	40	0.6	126037110.5	0	27096090.78	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	87508750	Central	40	0.6	127559198.4	0	27406791.6	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	89242500	Central	40	0.6	129069589.9	0	27715029.16	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	90976250	Central	40	0.6	130568288.7	0	28020807.48	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	92710000	Central	40	0.6	132055605.9	0	28324193.04	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	94443750	Central	40	0.6	133531838.1	0	28625249.31	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	96177500	Central	40	0.6	134997269.3	0	28924036.97	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	97911250	Central	40	0.6	136452171.1	0	29220614	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	99645000	Central	40	0.6	137896803.8	0	29515035.94	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	101378750	Central	40	0.6	139331416.6	0	29807355.97	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	103112500	Central	40	0.6	140756248.5	0	30097625.07	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	104846250	Central	40	0.6	142171529.1	0	30385892.17	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	106580000	Central	40	0.6	143577478.8	0	30672204.2	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	108313750	Central	40	0.6	144974309.4	0	30956606.28	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	110047500	Central	40	0.6	146362224.7	0	31239141.75	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	111781250	Central	40	0.6	147741420.5	0	31519852.32	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	113515000	Central	40	0.6	149112085.9	0	31798778.13	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	115248750	Central	40	0.6	150474402.5	0	32075957.84	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	116982500	Central	40	0.6	151828545.8	0	32351428.68	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	118716250	Central	40	0.6	153174684.8	0	32625226.57	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	120450000	Central	40	0.6	154512982.6	0	32897386.17	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	122183750	Central	40	0.6	155843597	0	33167940.88	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	123917500	Central	40	0.6	157166680	0	33436923.02	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	125651250	Central	40	0.6	158482378.8	0	33704363.76	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	127385000	Central	40	0.6	159790835.7	0	33970293.26	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	129118385	Central	40	0.6	161091915.1	0	34234685.17	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	130851770	Central	40	0.6	162386026.3	0	34497623.81	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	132585155	Central	40	0.6	163673298.1	0	34759136.49	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	134318540	Central	40	0.6	164953855.5	0	35019249.62	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	136051925	Central	40	0.6	166227819.5	0	35277988.81	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	137785310	Central	40	0.6	167495307.3	0	35535378.86	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	139518695	Central	40	0.6	168756432.8	0	35791443.85	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	141252080	Central	40	0.6	170011306.3	0	36046207.1	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	142985465	Central	40	0.6	171260035	0	36299691.24	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	144718850	Central	40	0.6	172502723.1	0	36551918.28	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	146452235	Central	40	0.6	173739471.3	0	36802909.52	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	148185620	Central	40	0.6	174970378.1	0	37052685.72	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	149919005	Central	40	0.6	176195538.8	0	37301267	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	151652390	Central	40	0.6	177415046.2	0	37548672.95	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	153385775	Central	40	0.6	178628990.7	0	37794922.61	0	0.019528054	0	0.9	0
Central Natural Gas Reforming (no CCS)	2025	155119160	Central	40	1	179837460	0	38040034.49	0	0.019528054	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	2184160	Central	40	0.88	13372109.7	0	2515050.61	0	0.072399253	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	94900365	Central	40	0.6	369509282	0	69497974.96	0	0.072399254	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	96405625	Central	40	0.6	372012730	0	69896722.15	0	0.071933646	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	97911250	Central	40	0.6	374502310.2	0	70293026.57	0	0.071482247	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	99416875	Central	40	0.6	376969275.7	0	70686846.48	0	0.071044522	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	100922500	Central	40	0.6	379422311	0	71078235.1	0	0.070619857	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	102428125	Central	40	0.6	381853332.3	0	71467243.75	0	0.070207676	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	103933750	Central	40	0.6	384270802.3	0	71853921.93	0	0.069807437	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	105439375	Central	40	0.6	386666824.3	0	72238317.4	0	0.069418628	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	106945000	Central	40	0.6	389045706.3	0	72620476.27	0	0.069040767	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	108450625	Central	40	0.6	391411545	0	73000443.09	0	0.068673399	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	109956250	Central	40	0.6	393756727.3	0	73378260.91	0	0.06831609	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	111461875	Central	40	0.6	396089168.9	0	73753971.34	0	0.067968435	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	112967500	Central	40	0.6	398401447.5	0	74127614.67	0	0.067630047	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	114473125	Central	40	0.6	400701262.5	0	74499229.87	0	0.067300561	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	115978750	Central	40	0.6	402981383.2	0	74868854.64	0	0.066979629	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	117484375	Central	40	0.6	405245715.5	0	75236525.58	0	0.066666922	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	118990000	Central	40	0.6	407497956.3	0	75602278.07	0	0.06636213	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	120495625	Central	40	0.6	409731164.5	0	75966146.46	0	0.066064954	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	122001250	Central	40	0.6	411952503.2	0	76328164.04	0	0.065775113	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	123506875	Central	40	0.6	414155225.2	0	76688363.12	0	0.065492338	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	125012500	Central	40	0.6	416346280.8	0	77046775.06	0	0.065216375	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	126518125	Central	40	0.6	418519118	0	77403430.29	0	0.064946981	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	128023750	Central	40	0.6	420677252.6	0	77758358.38	0	0.064683923	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	129529375	Central	40	0.6	422823993.9	0	78111588.06	0	0.06442698	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	131035000	Central	40	0.6	424953082.5	0	78463147.25	0	0.064175942	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	132540260	Central	40	0.6	427070522	0	78812978.45	0	0.063930667	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	134045520	Central	40	0.6	429170671.6	0	79161193.49	0	0.0636909	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	135550780	Central	40	0.6	431259741.8	0	79507818.01	0	0.063456458	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	137056040	Central	40	0.6	433331867	0	79852877	0	0.063227165	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	138561300	Central	40	0.6	435390182	0	80196394.78	0	0.063002855	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	140066560	Central	40	0.6	437437615.6	0	80538395.01	0	0.062783365	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	141571820	Central	40	0.6	439468598	0	80878900.76	0	0.062568544	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	143077080	Central	40	0.6	441488815.9	0	81217934.5	0	0.062358242	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	144582340	Central	40	0.6	443492897.6	0	81555518.13	0	0.06215232	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	146087600	Central	40	0.6	445483709.8	0	81891672.97	0	0.06195064	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	147592860	Central	40	0.6	447463912.9	0	82226419.87	0	0.061753074	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	149098120	Central	40	0.6	449428432.8	0	82559779.12	0	0.061559498	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	150603380	Central	40	0.6	451382434.9	0	82891770.51	0	0.061369791	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	152108640	Central	40	0.6	453321043.8	0	83222413.4	0	0.06118384	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	153613900	Central	40	0.6	455246860	0	83551726.62	0	0.061001532	0	0.9	0
Central Natural Gas Reforming w/CCS	2005	155119160	Central	40	1	457162278.4	0	83879728.63	0	0.060822762	0	0.9	0
Central Natural Gas Reforming w/CCS	2025	2184160	Central	40	0.88	11011887.76	0	1350125.761	0	0.044273134	0	0.9	0
Central Natural Gas Reforming w/CCS	2025	94900365	Central	40	0.6	304289661.8	0	37307800.47	0	0.044273134	0	0.9	0
Central Natural Gas Reforming w/CCS	2025	96405625	Central	40	0.6	306638441	0	37629865.78	0	0.044246683	0	0.9	0
Central Natural Gas Reforming w/CCS	2025	97911250	Central	40	0.6	308976308.9	0	37949947.34	0	0.044221039	0	0.9	0
Central Natural Gas Reforming w/CCS	2025	99416875	Central	40	0.6	311290986.5	0	38268011.82	0	0.044196172	0	0.9	0
