Material	Technology	Year	Nameplate Capacity [kg/yr]	Consumption [unit/kg]	Consumption [unit/km/kg]	Storage [kg]
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	45077500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	46720000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	48362135	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	50004270	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	51646405	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	53288540	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	54930675	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	56572810	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	58214945	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	59857080	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	61499215	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	63141350	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	64783485	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	66425620	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	68067755	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	69709890	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	71352025	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	72994160	2.392022799	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline (transmission)	2005	1	0	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline (distribution)	2005	1	0	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Compressor	2005	0	2.172785346	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	18250	0.001527123	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	36500	0.001527788	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	73000	0.001529067	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	146000	0.001531434	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	273750	0.001535038	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	547500	0.001540923	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	1095000	0.001547689	0	0
Electricity (Industrial) [kWh]	GH2 1000bar Pipeline Station (700bar)	2005	1825000	0.001550963	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Compressor	2005	0	0.525	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Salt Cavern Storage	2005	0	0.008333333	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	18250	4.573705269	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	36500	4.573077827	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	73000	4.571850155	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	146000	4.569498097	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	273750	4.565683572	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	547500	4.558592468	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	1095000	4.547638334	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Station (700bar)	2005	2190000	4.533298573	0	0
Electricity (Industrial) [kWh]	GH2 Pipeline Truck Terminal	2005	0	0.666666667	0	0
Electricity (Industrial) [kWh]	GH2 Truck Terminal w/Salt Cavern Storage	2005	0	0.611111112	0	0
Diesel [gal]	GH2 Truck Link	2005	0	0	0.000323087	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	18250	2.595688224	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	36500	2.563382826	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	73000	2.522478328	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	146000	2.478111612	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	273750	2.439892225	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	547500	2.403973368	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	1095000	2.37647522	0	0
Electricity (Industrial) [kWh]	GH2 Truck Station (700bar)	2005	2190000	2.357384942	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Compressor	2005	0	0.525	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Salt Cavern Storage	2005	0	0.008333333	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	10000	31.86823203	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	11000	31.4014993	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	12100	30.94160222	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	13310	30.48844068	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	14641	30.04191602	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	16105.1	29.60193106	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	17715.61	29.16839001	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	19487.171	28.7411985	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	21435.8881	28.32026354	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	23579.47691	27.90549351	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	25937.4246	27.49679811	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	28531.16706	27.09408839	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	31384.28377	26.69727668	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	34522.71214	26.30627661	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	37974.98336	25.92100306	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	41772.48169	25.54137219	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	45949.72986	25.16730135	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	50544.70285	24.79870911	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	55599.17313	24.43551526	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	61159.09045	24.07764074	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	67274.99949	23.72500764	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	74002.49944	23.37753923	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	81402.74939	23.03515987	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	89543.02433	22.69779504	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	98497.32676	22.36537133	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	108347.0594	22.03781637	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	119181.7654	21.71505889	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	131099.9419	21.39702863	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	144209.9361	21.0836564	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	158630.9297	20.774874	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	174494.0227	20.47061423	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	191943.425	20.17081089	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	211137.7675	19.87539874	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	232251.5442	19.58431352	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	255476.6986	19.29749188	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	281024.3685	19.01487143	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	309126.8053	18.73639069	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	340039.4859	18.46198909	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	374043.4344	18.19160694	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	411447.7779	17.92518543	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	452592.5557	17.66266664	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	497851.8112	17.40399348	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	547636.9924	17.1491097	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	602400.6916	16.89795991	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	662640.7608	16.65048952	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	728904.8369	16.40664475	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	801795.3205	16.16637262	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	881974.8526	15.92962093	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	970172.3378	15.69633827	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1115698.189	15.36042234	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1227268.007	15.13548072	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1349994.808	14.91383576	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1484994.289	14.69543295	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1633493.718	14.48023808	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1796843.09	14.26819793	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	1976527.399	14.05926658	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	2174180.138	13.85339882	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	2391598.152	13.65055012	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	2630757.967	13.45067664	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	2893833.764	13.25373522	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	3183217.141	13.05967761	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	3501538.855	12.86847402	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	3851692.74	12.68007713	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	4236862.014	12.49444644	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	4660548.216	12.3115365	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	5126603.037	12.13131987	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	5639263.341	11.95375195	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	6203189.675	11.7787894	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	6823508.643	11.60640641	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	7505859.507	11.43655494	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	8256445.457	11.26921061	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	9082090.003	11.10432671	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	9990299.004	10.94187993	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	10989328.9	10.78182525	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	12088261.79	10.62413486	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	13297087.97	10.46877619	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	14626796.77	10.31572276	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	16089476.45	10.1649325	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	17698424.09	10.01638025	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	19468266.5	9.870030996	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	21415093.15	9.725866184	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	23556602.47	9.583852124	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	25912262.71	9.443956165	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	28503488.99	9.306156695	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	31353837.88	9.170427828	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	34489221.67	9.036744497	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	37938143.84	8.905082498	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	41731958.22	8.775413421	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	45905154.05	8.647720173	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	50495669.45	8.521981535	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	55545236.4	8.398177317	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	61099760.04	8.27628335	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	67209736.04	8.156286977	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	73930709.64	8.947175824	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	81323780.61	8.81760821	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	89456158.67	8.690087789	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	98401774.54	8.564594439	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	113162040.7	8.384213677	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	130136346.8	8.208129834	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	156163616.2	8.50033846	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	187396339.4	8.269955977	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	224875607.3	8.41190654	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	269850728.8	8.186701816	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	323820874.5	8.247661604	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	388585049.4	8.258894336	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	466302059.3	8.236733539	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	559562471.2	8.340477542	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Train Terminal	2005	671474965.4	8.262267001	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	10000	31.08840941	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	11000	30.63309763	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	12100	30.18445421	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	13310	29.74238148	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	14641	29.30678323	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	16105.1	28.87756462	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	17715.61	28.45463222	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	19487.171	28.03789397	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	21435.8881	27.62725914	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	23579.47691	27.22263835	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	25937.4246	26.82394352	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	28531.16706	26.43108786	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	31384.28377	26.04398585	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	34522.71214	25.66255322	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	37974.98336	25.28670694	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	41772.48169	24.9163652	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	45949.72986	24.55144738	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	50544.70285	24.19187403	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	55599.17313	23.83756689	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	61159.09045	23.48844883	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	67274.99949	23.14444385	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	74002.49944	22.80547707	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	81402.74939	22.4714747	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	89543.02433	22.14236403	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	98497.32676	21.81807342	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	108347.0594	21.49853227	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	119181.7654	21.18367103	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	131099.9419	20.87342116	0	0
