Technology	Year	Nameplate Capacity [kg/yr]	Maximum Utilization [kg/kg]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Storage Technology
Central Natural Gas Reforming w/CCS	2015	6.79E+07	0.9	Central	40	0.6	250967998	0	44158530.1	0	0.371584124	0	No Storage
Central Natural Gas Reforming w/CCS	2015	7.15E+07	0.9	Central	40	0.6	258978805	0	45568054.28	0	0.3645906	0	No Storage
Central Natural Gas Reforming w/CCS	2015	7.52E+07	0.9	Central	40	0.6	266827699.5	0	46949089.51	0	0.356263842	0	No Storage
Central Natural Gas Reforming w/CCS	2015	7.88E+07	0.9	Central	40	0.6	274525588	0	48303554.79	0	0.352444964	0	No Storage
Central Natural Gas Reforming w/CCS	2015	82490000	0.9	Central	40	0.6	282082174.8	0	49633157.63	0	0.349729008	0	No Storage
Central Natural Gas Reforming w/CCS	2015	86140000	0.9	Central	40	0.6	289506141.7	0	50939425.65	0	0.346956466	0	No Storage
Central Natural Gas Reforming w/CCS	2015	89790000	0.9	Central	40	0.6	296805294.7	0	52223732.28	0	0.344162622	0	No Storage
Central Natural Gas Reforming w/CCS	2015	93440000	0.9	Central	40	0.6	303986683.3	0	53487317.95	0	0.340264139	0	No Storage
Central Natural Gas Reforming w/CCS	2015	97090000	0.9	Central	40	0.6	311056701	0	54731307.6	0	0.334937868	0	No Storage
Central Natural Gas Reforming w/CCS	2015	100740000	0.9	Central	40	0.6	318021168.5	0	55956725.38	0	0.329611965	0	No Storage
Central Natural Gas Reforming w/CCS	2015	104390000	0.9	Central	40	0.6	324885403.4	0	57164506.95	0	0.327096813	0	No Storage
Central Natural Gas Reforming w/CCS	2015	108040000	0.9	Central	40	0.6	331654280.1	0	58355509.98	0	0.324826844	0	No Storage
Central Natural Gas Reforming w/CCS	2015	111690000	0.9	Central	40	0.6	338332280.1	0	59530523	0	0.322519538	0	No Storage
Central Natural Gas Reforming w/CCS	2015	115340000	0.9	Central	40	0.6	344923535.7	0	60690273.09	0	0.320002358	0	No Storage
Central Natural Gas Reforming w/CCS	2015	118990000	0.9	Central	40	0.6	351431867	0	61835432.42	0	0.317485413	0	No Storage
Central Natural Gas Reforming w/CCS	2015	122640000	0.9	Central	40	0.6	357860814.6	0	62966623.95	0	0.315227372	0	No Storage
Central Natural Gas Reforming w/CCS	2015	126290000	0.9	Central	40	0.6	364213667.4	0	64084426.4	0	0.315128029	0	No Storage
Central Natural Gas Reforming w/CCS	2015	129940000	0.9	Central	40	0.6	370493487.6	0	65189378.55	0	0.315028872	0	No Storage
Central Natural Gas Reforming w/CCS	2015	133590000	0.9	Central	40	0.6	376703131.9	0	66281983.06	0	0.314929887	0	No Storage
Central Natural Gas Reforming w/CCS	2015	137240000	0.9	Central	40	0.6	382845270.8	0	67362709.78	0	0.312630665	0	No Storage
Central Natural Gas Reforming w/CCS	2015	140890000	0.9	Central	40	0.6	388922404.9	0	68431998.75	0	0.309628025	0	No Storage
Central Natural Gas Reforming w/CCS	2015	144540000	0.9	Central	40	0.6	394936880.3	0	69490262.74	0	0.306625525	0	No Storage
Central Natural Gas Reforming w/CCS	2015	148190000	0.9	Central	40	1	400890901.6	0	70537889.65	0	0.30373953	0	No Storage
Central Natural Gas Reforming w/CCS	2040	2190000	0.9	Central	40	0.6	25603872.75	0	4505073.932	0	4.415915686	0	No Storage
Central Natural Gas Reforming w/CCS	2040	5840000	0.9	Central	40	0.6	46119745.22	0	8114899.804	0	1.813622865	0	No Storage
Central Natural Gas Reforming w/CCS	2040	9490000	0.9	Central	40	0.6	61716163.18	0	10859133.72	0	1.206416793	0	No Storage
Central Natural Gas Reforming w/CCS	2040	13140000	0.9	Central	40	0.6	75023342.68	0	13200569.64	0	0.934157816	0	No Storage
Central Natural Gas Reforming w/CCS	2040	16790000	0.9	Central	40	0.6	86909971.77	0	15292055.7	0	0.778133769	0	No Storage
Central Natural Gas Reforming w/CCS	2040	20440000	0.9	Central	40	0.6	97797493.92	0	17207746.06	0	0.684145325	0	No Storage
Central Natural Gas Reforming w/CCS	2040	24090000	0.9	Central	40	0.6	107929774.9	0	18990549.6	0	0.633427727	0	No Storage
Central Natural Gas Reforming w/CCS	2040	27740000	0.9	Central	40	0.6	117463534.6	0	20668041.63	0	0.578425781	0	No Storage
Central Natural Gas Reforming w/CCS	2040	31390000	0.9	Central	40	0.6	126506832.1	0	22259235.44	0	0.535190331	0	No Storage
Central Natural Gas Reforming w/CCS	2040	35040000	0.9	Central	40	0.6	135138050.6	0	23777922.77	0	0.500734309	0	No Storage
Central Natural Gas Reforming w/CCS	2040	38690000	0.9	Central	40	0.6	143416272	0	25234499.27	0	0.473457945	0	No Storage
Central Natural Gas Reforming w/CCS	2040	42340000	0.9	Central	40	0.6	151387390.6	0	26637040.18	0	0.450454966	0	No Storage
Central Natural Gas Reforming w/CCS	2040	45990000	0.9	Central	40	0.6	159087932.2	0	27991972.28	0	0.441200413	0	No Storage
Central Natural Gas Reforming w/CCS	2040	49640000	0.9	Central	40	0.6	166547552.5	0	29304513.6	0	0.427555244	0	No Storage
Central Natural Gas Reforming w/CCS	2040	53290000	0.9	Central	40	0.6	173790736.4	0	30578972.32	0	0.412050263	0	No Storage
Central Natural Gas Reforming w/CCS	2040	56940000	0.9	Central	40	0.6	180837989	0	31818956.38	0	0.398273549	0	No Storage
Central Natural Gas Reforming w/CCS	2040	60590000	0.9	Central	40	0.6	187706694.9	0	33027524.63	0	0.386779509	0	No Storage
Central Natural Gas Reforming w/CCS	2040	64240000	0.9	Central	40	0.6	194411750.4	0	34207298.15	0	0.378427052	0	No Storage
Central Natural Gas Reforming w/CCS	2040	67890000	0.9	Central	40	0.6	200966040.7	0	35360544.09	0	0.374460422	0	No Storage
Central Natural Gas Reforming w/CCS	2040	71540000	0.9	Central	40	0.6	207380803.4	0	36489239.76	0	0.36746784	0	No Storage
Central Natural Gas Reforming w/CCS	2040	75190000	0.9	Central	40	0.6	213665912.6	0	37595122.52	0	0.359141959	0	No Storage
Central Natural Gas Reforming w/CCS	2040	78840000	0.9	Central	40	0.6	219830101.6	0	38679729.03	0	0.355323901	0	No Storage
Central Natural Gas Reforming w/CCS	2040	82490000	0.9	Central	40	0.6	225881141.3	0	39744426.6	0	0.352608714	0	No Storage
Central Natural Gas Reforming w/CCS	2040	86140000	0.9	Central	40	0.6	231825983.9	0	40790438.5	0	0.349836893	0	No Storage
Central Natural Gas Reforming w/CCS	2040	89790000	0.9	Central	40	0.6	237670880	0	41818864.52	0	0.34704373	0	No Storage
Central Natural Gas Reforming w/CCS	2040	93440000	0.9	Central	40	0.6	243421474.6	0	42830697.94	0	0.34314589	0	No Storage
Central Natural Gas Reforming w/CCS	2040	97090000	0.9	Central	40	0.6	249082887.6	0	43826839.59	0	0.337820227	0	No Storage
Central Natural Gas Reforming w/CCS	2040	100740000	0.9	Central	40	0.6	254659779.7	0	44808109.56	0	0.332494902	0	No Storage
Central Natural Gas Reforming w/CCS	2040	104390000	0.9	Central	40	0.6	260156409.3	0	45775257.09	0	0.329980298	0	No Storage
Central Natural Gas Reforming w/CCS	2040	108040000	0.9	Central	40	0.6	265576679.4	0	46728968.98	0	0.327710852	0	No Storage
Central Natural Gas Reforming w/CCS	2040	111690000	0.9	Central	40	0.6	270924178.9	0	47669876.65	0	0.325404044	0	No Storage
Central Natural Gas Reforming w/CCS	2040	115340000	0.9	Central	40	0.6	276202216.5	0	48598562.32	0	0.32288734	0	No Storage
Central Natural Gas Reforming w/CCS	2040	118990000	0.9	Central	40	0.6	281413851.4	0	49515564.24	0	0.320370851	0	No Storage
Central Natural Gas Reforming w/CCS	2040	122640000	0.9	Central	40	0.6	286561918.6	0	50421381.26	0	0.318113246	0	No Storage
Central Natural Gas Reforming w/CCS	2040	126290000	0.9	Central	40	0.6	291649052	0	51316476.79	0	0.318014322	0	No Storage
Central Natural Gas Reforming w/CCS	2040	129940000	0.9	Central	40	0.6	296677703.5	0	52201282.26	0	0.317915566	0	No Storage
Central Natural Gas Reforming w/CCS	2040	133590000	0.9	Central	40	0.6	301650160.8	0	53076200.19	0	0.317816968	0	No Storage
Central Natural Gas Reforming w/CCS	2040	137240000	0.9	Central	40	0.6	306568562	0	53941606.83	0	0.315518118	0	No Storage
Central Natural Gas Reforming w/CCS	2040	140890000	0.9	Central	40	0.6	311434909.9	0	54797854.52	0	0.312515836	0	No Storage
Central Natural Gas Reforming w/CCS	2040	144540000	0.9	Central	40	0.6	316251083	0	55645273.82	0	0.309513681	0	No Storage
Central Natural Gas Reforming w/CCS	2040	148190000	0.9	Central	40	1	321018846.6	0	56484175.33	0	0.30662802	0	No Storage
Onsite Electrolysis (PEM)	2015	618675	0.859669	Onsite	20	0.859603	4000000	0	456451.6321	0	0.036845316	0	No Storage
Onsite Electrolysis (PEM)	2040	647692.5	0.859669	Onsite	20	0.905743	2290614.273	0	265026.6612	0	0.027069111	0	No Storage
